"LME","Mean","SD"
"Baltic Sea","-9e-07","2.4e-06"
"Sea of Okhotsk","-2e-07","1.5e-06"
"North Sea","-1.2e-06","4.3e-06"
"Gulf of Alaska","-2e-07","1.5e-06"
"Labrador - Newfoundland","-3e-07","1.2e-06"
"Celtic-Biscay Shelf","-5e-07","2.1e-06"
"Sea of Japan","-4e-07","1.1e-06"
"Oyashio Current","-5e-07","1.5e-06"
"Scotian Shelf","-6e-07","3.2e-06"
"California Current","0e+00","8e-07"
"Northeast U.S. Continental Shelf","-4e-06","1.62e-05"
"Mediterranean Sea","-1e-07","1e-06"
"Iberian Coastal","0e+00","2e-07"
"Kuroshio Current","-3e-07","1.6e-06"
"Yellow Sea","-9e-07","6.3e-06"
"Canary Current","-5e-07","6.1e-06"
"East China Sea","-1.2e-06","5.8e-06"
"Southeast U.S. Continental Shelf","-1.2e-06","4.1e-06"
"Gulf of California","-5e-07","5e-07"
"Gulf of Mexico","-2e-07","2.1e-06"
"Arabian Sea","-4e-07","1.4e-06"
"Red Sea","-5e-07","1.5e-06"
"Insular Pacific-Hawaiian","0e+00","1e-07"
"Caribbean Sea","-1e-07","2.4e-06"
"South China Sea","-7e-07","4.7e-06"
"Bay of Bengal","-4e-07","1.7e-06"
"Pacific Central-American Coastal","-7e-07","1.8e-06"
"Sulu-Celebes Sea","-7e-07","2.6e-06"
"Gulf of Thailand","2e-07","2.1e-06"
"North Brazil Shelf","-6.8e-06","4.41e-05"
"Guinea Current","-5e-07","3.8e-06"
"Somali Coastal Current","-1e-06","1.5e-06"
"Indonesian Sea","-6e-07","3.3e-06"
"East Brazil Shelf","-5e-07","2.4e-06"
"Humboldt Current","-5e-07","2.4e-06"
"Benguela Current","-9e-07","1.27e-05"
"North Australian Shelf","-2e-07","9e-07"
"Northeast Australian Shelf","-1e-07","1.2e-06"
"Agulhas Current","-5e-07","2.5e-06"
"Northwest Australian Shelf","-2e-07","5e-07"
"East Central Australian Shelf","-4e-07","1e-06"
"South Brazil Shelf","-4.8e-06","2.52e-05"
"New Zealand Shelf","-1e-07","4e-07"
"Patagonian Shelf","-7e-07","4.5e-06"
"Southeast Australian Shelf","-1e-07","6e-07"
"Antarctica","0e+00","0e+00"
"South West Australian Shelf","-1e-07","3e-07"
"West Central Australian Shelf","-1e-07","4e-07"
"Faroe Plateau","0e+00","2e-07"
"Iceland Shelf and Sea","0e+00","2e-07"
"Greenland Sea","0e+00","1e-07"
"Norwegian Sea","-1e-07","3e-07"
"Barents Sea","-1e-07","4e-07"
"Kara Sea","0e+00","1e-07"
"Laptev Sea","0e+00","0e+00"
"East Siberian Sea","0e+00","1e-07"
"West Bering Sea","-3e-07","1.1e-06"
"Aleutian Islands","4e-07","7e-07"
"East Bering Sea","-1e-07","9e-07"
"Canadian Eastern Arctic - West Greenland","0e+00","2e-07"
"Hudson Bay Complex","-1e-07","6e-07"
"Beaufort Sea","0e+00","0e+00"
"Northern Bering - Chukchi Seas","-1e-07","5e-07"
