"","Intercepts","Estimate","Std..Error","t.value","Pr...t.."
"1","(Intercept)",-4.20036959672086,0.0727969791226108,-57.6997788554693,0
"2","ns(moveInd, DF)1",-0.0232826331365278,0.0511599696268408,-0.455094741188287,0.649045181921593
"3","ns(moveInd, DF)2",0.63019951898811,0.0611931633993531,10.2985282011875,8.05540814492534e-25
"4","ns(moveInd, DF)3",0.682678358102736,0.127500925341581,5.35430120427604,8.66735274570929e-08
"5","ns(moveInd, DF)4",0.981163611257076,0.146269426198295,6.70792001280519,2.01790599900276e-11
"6","ns(distance, DF)1",-3.81409484815714,0.0427444543551968,-89.2301681163798,0
"7","ns(distance, DF)2",-2.3293307948421,0.053934587223468,-43.1880712313779,0
"8","ns(distance, DF)3",-4.4194553161155,0.102798396361567,-42.9914811177715,0
"9","ns(distance, DF)4",-4.90958818892787,0.11546128886591,-42.5215086125496,0
"10","ns(lat, DF)1",1.27357488847397,0.0856326500569646,14.8725385425625,8.26828685036647e-50
"11","ns(lat, DF)2",1.51559285560913,0.0682481588415338,22.2070878003933,3.57287722896712e-108
"12","ns(lat, DF)3",2.9031715039141,0.195554033889919,14.845878891705,1.22647980534082e-49
"13","ns(lat, DF)4",-1.26189304623102,0.0502001979151359,-25.1372125736291,1.15908314179003e-137
"14","ns(NPP, DF)1",-0.627532231948467,0.0983935256762726,-6.37777971299787,1.82934136810593e-10
"15","ns(NPP, DF)2",2.39292557798195,0.0799437354419812,29.9326215462949,2.55783783749639e-193
"16","ns(NPP, DF)3",0.149663569188892,0.203413954364448,0.735758614282414,0.461884774100885
"17","ns(NPP, DF)4",2.8290310555237,0.10950535961913,25.834635540793,3.43483120241588e-145
